"FID","COUNTY","PRECINCT","PRECINCTID","AREA","Shape__Are","Shape__Len","OBJECTID","DISTRICT","pop_total","Ideal_pop","Diff_Ideal","DDeviation","ODeviation","Shape_Leng","Shape_Area","main_zip","n_zip","overlap_zip","alt_zip","neighborhood","ogPrecinct"
194,"C","88 ","C113",5798245.53271484,5798245.53125,16627.6505298733,1,"1",159498,163125.75,-3628,-2.22389782115944,4.99246746758254,116166.411384399,194942547.663706,"97086",3,1,"97236, 97266, 97086","PLEASANT VALLEY","CLACK-113"
195,"C","89 ","C114",1839760.74511719,1839760.74365234,16970.1520588383,1,"1",159498,163125.75,-3628,-2.22389782115944,4.99246746758254,116166.411384399,194942547.663706,"97086",3,1,"97206, 97266, 97086","LENTS","CLACK-114"
196,"C","85 ","C115",3156959.91796875,3156959.91796875,17346.414176631,3,"4",167642,163125.75,4516,2.76856964642308,4.99246746758254,61241.4504784657,111000277.20049,"97202",3,1,"97206, 97202, 97222","SELLWOOD-MORELAND","CLACK-115"
197,"C","86 ","C116",53133.0615234375,53133.060546875,1342.88647131698,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97034",2,1,"97034, 97035","ARNOLD CREEK","CLACK-116"
1,"M","44 ","M2801",85573350.4633789,85573350.4731445,56658.6260854511,3,"4",167642,163125.75,4516,2.76856964642308,4.99246746758254,61241.4504784657,111000277.20049,"97239",4,1,"97201, 97221, 97239, 97219","HILLSDALE","2801 "
3,"M","31 ","M2803",11775987.5004883,11775987.4951172,16157.0276417664,3,"4",167642,163125.75,4516,2.76856964642308,4.99246746758254,61241.4504784657,111000277.20049,"97201",3,1,"97201, 97258, 97204","PORTLAND DOWNTOWN","2803 "
4,"M","32 ","M2804",73270482.8525391,73270482.8486328,89305.1978720066,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97221",4,1,"97201, 97225, 97221, 97239","SOUTHWEST HILLS","2804 "
5,"M","57 ","M2805",69853938.0126953,69853938.0068359,41152.922175312,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97219",5,1,"97225, 97221, 97223, 97239, 97219","HAYHURST","2805 "
6,"M","37 ","M2806",66402503.9560547,66402503.953125,42282.4212685497,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97219",3,1,"97221, 97239, 97219","MULTNOMAH","2806 "
329,"M","10 ","M3301",212528566.134277,212528566.101562,219366.460711667,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97231",5,1,"97231, 97225, 97229, 97221, 97210","FOREST PARK","3301 "
7,"M","42 ","M3302",66470938.6186523,66470938.6176758,77600.2709668019,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97221",6,1,"97201, 97225, 97209, 97221, 97210, 97205","ARLINGTON HEIGHTS","3302 "
8,"M","53 ","M3303",25022856.7495117,25022856.753418,22864.8618834052,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97205",6,1,"97201, 97209, 97258, 97204, 97210, 97205","PORTLAND DOWNTOWN","3303 "
330,"M","61 ","M3304",466884728.51123,466884728.498535,233787.139475305,2,"4",160716,163125.75,-2410,-1.47723458742718,4.99246746758254,75791.8320267099,220072998.039035,"97210",8,1,"97231, 97203, 97209, 97217, 97229, 97221, 97210, 97205","FOREST PARK/LINNTON","3304"
9,"M","14 ","M3305",2385849.06152344,2385849.06689453,15081.7755711617,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97231",3,1,"97231, 97229, 97210","FOREST PARK","3305 "
10,"M","76 ","M3306",24868227.0336914,24868227.0375977,27405.3263181726,2,"4",160716,163125.75,-2410,-1.47723458742718,4.99246746758254,75791.8320267099,220072998.039035,"97209",4,1,"97227, 97209, 97208, 97210","NORTHWEST DISTRICT","3306"
11,"M","38 ","M3307",9845036.70996094,9845036.70654297,16520.0706789004,4,"4",164647,163125.75,1521,0.932562762163546,4.99246746758254,195082.516067502,239309888.120282,"97209",3,1,"97209, 97208, 97210","PEARL DISTRICT","3307 "
