recordID,precinct,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
B01,P01,Apple,Banana,Cherry,Endive,Grape,Helado
B02,P02,Apple,Banana,Cherry,Daiquiri,Endive,Grape
B03,P03,Apple,Banana,Cherry,Grape,Jasmine,Endive
B04,P04,Apple,Banana,Cherry,Helado,Endive,Indigo
B05,P05,Apple,Banana,Cherry,Daiquiri,Helado,Indigo
B06,P06,Apple,Banana,Cherry,Daiquiri,Frittata,Grape
B07,P07,Apple,Banana,Cherry,Indigo,Grape,Frittata
B08,P08,Apple,Banana,Cherry,Frittata,Helado,Grape
B09,P09,Apple,Banana,Cherry,Frittata,Jasmine,Endive
B10,P10,Apple,Banana,Cherry,Frittata,Endive,Daiquiri
B11,P11,Apple,Banana,Cherry,Endive,Grape,Jasmine
B12,P12,Apple,Banana,Cherry,Indigo,Endive,Daiquiri
B13,P13,Apple,Banana,Cherry,Grape,Helado,Jasmine
B14,P14,Apple,Banana,Cherry,Daiquiri,Endive,Grape
B15,P15,Apple,Banana,Cherry,Endive,Daiquiri,Indigo
B16,P16,Apple,Banana,Cherry,Daiquiri,Grape,Frittata
B17,P17,Apple,Banana,Cherry,Grape,Daiquiri,Endive
B18,P18,Apple,Banana,Cherry,Daiquiri,Endive,Helado
B19,P19,Apple,Banana,Cherry,Helado,Grape,Indigo
B20,P20,Apple,Banana,Cherry,Frittata,Jasmine,Grape
B21,P21,Apple,Banana,Cherry,Grape,Daiquiri,Indigo
B22,P22,Apple,Banana,Cherry,Frittata,Daiquiri,Helado
B23,P23,Apple,Banana,Cherry,Frittata,Grape,Daiquiri
B24,P24,Apple,Banana,Daiquiri,Helado,Frittata,Cherry
B25,P25,Apple,Banana,Daiquiri,Grape,Helado,Cherry
B26,P26,Apple,Banana,Daiquiri,Endive,Grape,Cherry
B27,P27,Apple,Banana,Daiquiri,Cherry,Helado,Indigo
B28,P28,Apple,Banana,Daiquiri,Cherry,Grape,Endive
B29,P29,Apple,Banana,Daiquiri,Cherry,Jasmine,Indigo
B30,P30,Apple,Banana,Daiquiri,Frittata,Helado,Cherry
B31,P31,Apple,Banana,Daiquiri,Endive,Helado,Cherry
B32,P32,Apple,Banana,Daiquiri,Frittata,Helado,Jasmine
B33,P33,Apple,Banana,Daiquiri,Jasmine,Frittata,Grape
B34,P34,Apple,Banana,Daiquiri,Helado,Cherry,Grape
B35,P35,Apple,Banana,Daiquiri,Jasmine,Indigo,Frittata
B36,P36,Apple,Banana,Daiquiri,Cherry,Frittata,Jasmine
B37,P37,Apple,Banana,Daiquiri,Jasmine,Grape,Cherry
B38,P38,Apple,Banana,Daiquiri,Endive,Helado,Cherry
B39,P39,Apple,Banana,Endive,Indigo,Daiquiri,Helado
B40,P40,Apple,Banana,Endive,Daiquiri,Cherry,Jasmine
B41,P41,Apple,Banana,Endive,Grape,Helado,Jasmine
B42,P42,Apple,Banana,Endive,Cherry,Jasmine,Grape
B43,P43,Apple,Banana,Endive,Daiquiri,Indigo,Cherry
B44,P44,Apple,Banana,Endive,Frittata,Daiquiri,Cherry
B45,P45,Apple,Banana,Endive,Daiquiri,Cherry,Jasmine
B46,P46,Apple,Banana,Endive,Jasmine,Indigo,Grape
B47,P47,Apple,Banana,Endive,Indigo,Cherry,Jasmine
B48,P48,Apple,Banana,Frittata,Daiquiri,Helado,Jasmine
B49,P49,Apple,Banana,Frittata,Indigo,Cherry,Grape
B50,P50,Apple,Banana,Frittata,Helado,Jasmine,Indigo
B51,P51,Apple,Banana,Frittata,Helado,Cherry,Jasmine
B52,P52,Apple,Banana,Frittata,Endive,Cherry,Daiquiri
B53,P53,Apple,Banana,Frittata,Cherry,Endive,Daiquiri
B54,P54,Apple,Banana,Frittata,Grape,Daiquiri,Helado
B55,P55,Apple,Banana,Frittata,Daiquiri,Indigo,Endive
B56,P56,Apple,Banana,Frittata,Jasmine,Indigo,Helado
B57,P57,Apple,Banana,Frittata,Jasmine,Indigo,Grape
B58,P58,Apple,Banana,Grape,Cherry,Daiquiri,Endive
B59,P59,Apple,Banana,Grape,Cherry,Jasmine,Daiquiri
B60,P60,Apple,Banana,Grape,Cherry,Jasmine,Endive
B61,P61,Apple,Banana,Grape,Cherry,Endive,Indigo
B62,P62,Apple,Banana,Grape,Helado,Cherry,Indigo
B63,P63,Apple,Banana,Grape,Jasmine,Indigo,Daiquiri
B64,P64,Apple,Banana,Grape,Jasmine,Endive,Indigo
B65,P65,Apple,Banana,Grape,Endive,Cherry,Jasmine
B66,P66,Apple,Banana,Grape,Helado,Cherry,Daiquiri
B67,P67,Apple,Banana,Grape,Helado,Endive,Frittata
B68,P68,Apple,Banana,Grape,Cherry,Jasmine,Frittata
B69,P69,Apple,Banana,Grape,Frittata,Cherry,Helado
B70,P70,Apple,Banana,Helado,Jasmine,Cherry,Daiquiri
B71,P71,Apple,Banana,Helado,Frittata,Indigo,Grape
B72,P72,Apple,Banana,Helado,Frittata,Daiquiri,Endive
B73,P73,Apple,Banana,Helado,Frittata,Endive,Cherry
B74,P74,Apple,Banana,Helado,Frittata,Daiquiri,Cherry
B75,P75,Apple,Banana,Helado,Jasmine,Frittata,Daiquiri
B76,P76,Apple,Banana,Helado,Endive,Jasmine,Grape
B77,P77,Apple,Banana,Helado,Daiquiri,Cherry,Grape
B78,P78,Apple,Banana,Helado,Indigo,Jasmine,Endive
B79,P79,Apple,Banana,Helado,Cherry,Endive,Indigo
B80,P80,Apple,Banana,Helado,Daiquiri,Indigo,Frittata
B81,P81,Apple,Banana,Helado,Indigo,Grape,Cherry
B82,P82,Apple,Banana,Indigo,Jasmine,Cherry,Grape
B83,P83,Apple,Banana,Indigo,Daiquiri,Cherry,Grape
B84,P84,Apple,Banana,Indigo,Cherry,Jasmine,Frittata
B85,P85,Apple,Banana,Indigo,Jasmine,Helado,Daiquiri
B86,P86,Apple,Banana,Indigo,Jasmine,Cherry,Daiquiri
B87,P87,Apple,Banana,Indigo,Endive,Jasmine,Cherry
B88,P88,Apple,Banana,Indigo,Frittata,Grape,Cherry
B89,P89,Apple,Banana,Indigo,Daiquiri,Grape,Endive
B90,P90,Apple,Banana,Jasmine,Helado,Indigo,Cherry
B91,P91,Apple,Banana,Jasmine,Daiquiri,Grape,Cherry
B92,P92,Apple,Banana,Jasmine,Cherry,Daiquiri,Helado
B93,P93,Apple,Banana,Jasmine,Endive,Cherry,Daiquiri
B94,P94,Apple,Banana,Jasmine,Grape,Daiquiri,Cherry
B95,P95,Apple,Banana,Jasmine,Daiquiri,Cherry,Helado
B96,P96,Apple,Banana,Jasmine,Daiquiri,Grape,Cherry
B97,P97,Apple,Banana,Jasmine,Grape,Cherry,Frittata
B98,P98,Apple,Banana,Jasmine,Cherry,Frittata,Indigo
B99,P99,Apple,Banana,Jasmine,Grape,Daiquiri,Helado
B100,P100,Apple,Banana,Jasmine,Cherry,Indigo,Grape
